product_id,name,root_price_vnd,discounted_price_vnd,battery_capacity_wh,cpu_threads,cpu_base_clock_ghz,ram_type,cpu_model,manufacturer,laptop_height_mm,laptop_width_mm,cpu_boost_clock_ghz,cpu_cores,ram_speed,refresh_rate_hz,ram_slots,vga_type,laptop_depth_mm,vga_vram_gb,laptop_camera
0220042002663__l40_20250402-105034,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5052W1),16990000,16490000,41,12,1.3,ddr4,1235u,dell,235.56,358.5,4.4,10,2666,120,2,card tích hợp,16.96,0,HD
0220042002665__l180_20250402-105034,Laptop Dell Inspiron 14 5440 Core 7 150U/16GB/512GB/OfficeHS/Win11 (N4I7204W1),26490000,24990000,54,12,2.7,ddr5,150u,dell,226.15,314,5.4,10,5200,60,2,card tích hợp,18.07,0,Full HD
0220042002667__l215_20250402-105034,Laptop Dell Inspiron 15 3530 i7 1355U/16GB/1TB/120Hz/OfficeHS/Win11 (P16WD),23490000,22490000,54,12,1.7,ddr4,1355u,dell,235.6,358.5,5,10,2666,120,2,card tích hợp,19,0,HD
0220042002670__l15_20250402-105034,Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/120Hz/Win11 (MA415W),19990000,16490000,50,16,2.5,ddr4,12500h,asus,227.6,356.8,4.5,12,3200,120,2,card tích hợp,19.9,0,HD
0220042002672__l121_20250402-105034,Laptop Asus Vivobook S 16 OLED S5606MA Ultra 5 125H/16GB/512GB/120Hz/Win11 (MX050W),27990000,23690000,75,18,1.2,lpddr5,125h,asus,246.9,353.6,4.5,14,7467,120,0,card tích hợp,15.9,0,Full HD
0220042002673__l47_20250402-105034,Laptop Asus Zenbook 14 OLED UX3402VA i5 13500H/16GB/512GB/90Hz/Win11 (KM657W),26990000,23190000,75,16,2.6,lpddr5,13500h,asus,220.6,313.6,4.7,12,4266,90,0,card tích hợp,16.9,0,Full HD
0220042002677__l236_20250402-105034,Laptop MSI Creator Z17 HX Studio A14VGT i7 14700HX/32GB/2TB/8GB RTX4070/165Hz/Win11 (272VN),71990000,71990000,90,28,2.1,ddr5,14700hx,msi,260,382,5.5,20,5600,165,2,card rời,19,8,Full HD
0220042002681__l13_20250402-105034,Laptop Lenovo Ideapad Slim 3 15AMN8 R5 7520U/16GB/512GB/Win11 (82XQ00J0VN),14390000,13190000,47,8,2.8,lpddr5,7520u,lenovo,235,359.3,4.3,4,5500,60,0,card tích hợp,17.9,0,HD
0220042002682__l197_20250402-105034,Laptop Lenovo Yoga Slim 7 14IMH9 Ultra 7 155H/32GB/1TB/OfficeHS/Win11 (83CV001VVN),31990000,30490000,65,22,1.4,lpddr5,155h,lenovo,221,312,4.8,16,7467,60,0,card tích hợp,14.9,0,Full HD
0220042002690__l51_20250402-105034,Laptop MacBook Air 13 inch M3 16GB/512GB (Z1B600238),32990000,30490000,52.6,8,3.4,lpddr5,m3,apple,215,304.1,4.05,8,6400,60,0,card tích hợp,11.3,0,Full HD
0220042002708__l120_20250402-105034,Laptop Dell Vostro 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (71030559),16990000,16490000,41,12,1.3,ddr4,1235u,dell,235.56,358.5,4.4,10,2666,120,2,card tích hợp,18.99,0,HD
0220042002691__l51_20250402-105034,Laptop MacBook Air 13 inch M3 16GB/512GB (Z1B8001XN),32990000,28690000,52.6,8,3.4,lpddr5,m3,apple,215,304.1,4.05,8,6400,60,0,card tích hợp,11.3,0,Full HD
0220042002693__l51_20250402-105034,Laptop MacBook Air 13 inch M3 16GB/512GB (Z1BC002JH),32990000,28690000,52.6,8,3.4,lpddr5,m3,apple,215,304.1,4.05,8,6400,60,0,card tích hợp,11.3,0,Full HD
